"","result.all"
"DEN versus all",0.847222222222222
"NYC versus all",0.865007012622721
"SAC versus all",0.706521739130435
"BAL versus all",0.650202429149798
"MIN versus all",0.944444444444444
"SAN versus all",0.694725028058361
"+ DEN NYC +",0.923913043478261
"+ DEN SAC +",0.868055555555556
"+ DEN BAL +",0.525641025641026
"+ DEN MIN +",0.981481481481482
"+ DEN SAN +",0.876543209876543
"+ NYC SAC +",0.673913043478261
"+ NYC BAL +",0.854515050167224
"+ NYC MIN +",0.963768115942029
"+ NYC SAN +",0.8743961352657
"+ SAC BAL +",0.706730769230769
"+ SAC MIN +",0.90625
"+ SAC SAN +",0.430555555555556
"+ BAL MIN +",1
"+ BAL SAN +",0.615384615384615
"+ MIN SAN +",0.722222222222222
