sample	gene	count
gCSD17_DEN_22_alignment_sorted	A16S	132.0
gCSD17_DEN_22_alignment_sorted	ARSA	36.0
gCSD17_DEN_22_alignment_sorted	ARSCM	12.0
gCSD17_DEN_22_alignment_sorted	CAP16S	45.0
gCSD17_DEN_22_alignment_sorted	COPC	11.0
gCSD17_DEN_22_alignment_sorted	CPXAR	59.0
gCSD17_DEN_22_alignment_sorted	CTX	297.0
gCSD17_DEN_22_alignment_sorted	EEFX	2.0
gCSD17_DEN_22_alignment_sorted	EMRRSM	14.0
gCSD17_DEN_22_alignment_sorted	KPNE	7.0
gCSD17_DEN_22_alignment_sorted	MLS23S	442.0
gCSD17_DEN_22_alignment_sorted	PCM	28.0
gCSD17_DEN_22_alignment_sorted	PCOA	32.0
gCSD17_DEN_22_alignment_sorted	PCOC	8.0
gCSD17_DEN_22_alignment_sorted	PCOD	21.0
gCSD17_DEN_22_alignment_sorted	PCOE	8.0
gCSD17_DEN_22_alignment_sorted	PCOR	16.0
gCSD17_DEN_22_alignment_sorted	PHOB	24.0
gCSD17_DEN_22_alignment_sorted	RPSL	45.0
gCSD17_DEN_22_alignment_sorted	RRSC	40.0
gCSD17_DEN_22_alignment_sorted	RRSH	68.0
gCSD17_DEN_22_alignment_sorted	SILA	64.0
gCSD17_DEN_22_alignment_sorted	SILP	57.0
gCSD17_DEN_22_alignment_sorted	SILS	32.0
gCSD17_DEN_22_alignment_sorted	SME	53.0
gCSD17_DEN_22_alignment_sorted	TOLCSM	42.0
gCSD17_DEN_22_alignment_sorted	ACN	0.0
gCSD17_DEN_22_alignment_sorted	DNAK	0.0
gCSD17_DEN_22_alignment_sorted	GYRA	0.0
gCSD17_DEN_22_alignment_sorted	LNUA	0.0
gCSD17_DEN_22_alignment_sorted	MTRAD	0.0
gCSD17_DEN_22_alignment_sorted	O23S	0.0
gCSD17_DEN_22_alignment_sorted	RPOB	0.0
gCSD17_DEN_22_alignment_sorted	RPOCR	0.0
gCSD17_DEN_22_alignment_sorted	RPSA	0.0
gCSD17_DEN_22_alignment_sorted	RRS	0.0
gCSD17_DEN_22_alignment_sorted	RRSA	0.0
gCSD17_DEN_22_alignment_sorted	TCRB	0.0
gCSD17_DEN_22_alignment_sorted	TET16S	0.0
