sample	gene	count
gCSD17_SAN_11_filtered	A16S	736.0
gCSD17_SAN_11_filtered	ACN	732.0
gCSD17_SAN_11_filtered	GYRA	1523.0
gCSD17_SAN_11_filtered	MERA	123.0
gCSD17_SAN_11_filtered	MERE	7.0
gCSD17_SAN_11_filtered	MERP	22.0
gCSD17_SAN_11_filtered	MERR	37.0
gCSD17_SAN_11_filtered	MERT	9.0
gCSD17_SAN_11_filtered	MLS23S	395.0
gCSD17_SAN_11_filtered	MTRAD	89.0
gCSD17_SAN_11_filtered	RPOB	744.0
gCSD17_SAN_11_filtered	RPOCR	1037.0
gCSD17_SAN_11_filtered	RPSA	407.0
gCSD17_SAN_11_filtered	RPSL	140.0
gCSD17_SAN_11_filtered	RRSA	91.0
gCSD17_SAN_11_filtered	SODB	61.0
gCSD17_SAN_11_filtered	TET16S	102.0
gCSD17_SAN_11_filtered	TUFAB	1090.0
gCSD17_SAN_11_filtered	VANRS	187.0
gCSD17_SAN_11_filtered	AMRA	0.0
gCSD17_SAN_11_filtered	ARSM	0.0
gCSD17_SAN_11_filtered	CEOB	0.0
gCSD17_SAN_11_filtered	DNAK	0.0
gCSD17_SAN_11_filtered	MUXB	0.0
gCSD17_SAN_11_filtered	OLEC	0.0
gCSD17_SAN_11_filtered	VANRO	0.0
gCSD17_SAN_11_filtered	MERD	0.0
gCSD17_SAN_11_filtered	O23S	0.0
gCSD17_SAN_11_filtered	MERR2	0.0
gCSD17_SAN_11_filtered	OXA	0.0
gCSD17_SAN_11_filtered	RRSH	0.0
gCSD17_SAN_11_filtered	TCRA	0.0
gCSD17_SAN_11_filtered	TCRB	0.0
gCSD17_SAN_11_filtered	ARSBM	0.0
gCSD17_SAN_11_filtered	CAP16S	0.0
gCSD17_SAN_11_filtered	COPB	0.0
gCSD17_SAN_11_filtered	COPM	0.0
gCSD17_SAN_11_filtered	CPXAR	0.0
gCSD17_SAN_11_filtered	CTX	0.0
gCSD17_SAN_11_filtered	OXYRKP	0.0
gCSD17_SAN_11_filtered	PCM	0.0
gCSD17_SAN_11_filtered	PCOA	0.0
gCSD17_SAN_11_filtered	PHOB	0.0
gCSD17_SAN_11_filtered	RRSC	0.0
gCSD17_SAN_11_filtered	SILE	0.0
gCSD17_SAN_11_filtered	SILF	0.0
gCSD17_SAN_11_filtered	SME	0.0
gCSD17_SAN_11_filtered	TOLCSM	0.0
gCSD17_SAN_11_filtered	APH3-PRIME	0.0
gCSD17_SAN_11_filtered	ARNA	0.0
gCSD17_SAN_11_filtered	ARSC	0.0
gCSD17_SAN_11_filtered	BLAI	0.0
gCSD17_SAN_11_filtered	BLAR	0.0
gCSD17_SAN_11_filtered	CADD	0.0
gCSD17_SAN_11_filtered	CADX	0.0
gCSD17_SAN_11_filtered	COPC	0.0
gCSD17_SAN_11_filtered	CRP	0.0
gCSD17_SAN_11_filtered	CZRA	0.0
gCSD17_SAN_11_filtered	DFRG	0.0
