sample	gene	count
gCSD16_NYC_1	A16S	371.0
gCSD16_NYC_1	MLS23S	1067.0
gCSD16_NYC_1	O23S	283.0
gCSD16_NYC_1	RPSA	146.0
gCSD16_NYC_1	RPSL	70.0
gCSD16_NYC_1	RRSA	83.0
gCSD16_NYC_1	TUFAB	180.0
gCSD16_NYC_1	MERR	0.0
gCSD16_NYC_1	VANRS	0.0
gCSD16_NYC_1	RPOCR	0.0
gCSD16_NYC_1	MERT	0.0
gCSD16_NYC_1	CAP16S	0.0
gCSD16_NYC_1	CPXAR	0.0
gCSD16_NYC_1	CRP	0.0
gCSD16_NYC_1	DFRG	0.0
gCSD16_NYC_1	EMRASM	0.0
gCSD16_NYC_1	EMRBSM	0.0
gCSD16_NYC_1	FABI	0.0
gCSD16_NYC_1	FUSE	0.0
gCSD16_NYC_1	GYRA	0.0
gCSD16_NYC_1	MUXB	0.0
gCSD16_NYC_1	OLEC	0.0
gCSD16_NYC_1	PARE	0.0
gCSD16_NYC_1	PSTB	0.0
gCSD16_NYC_1	RECGM	0.0
gCSD16_NYC_1	RPOB	0.0
gCSD16_NYC_1	RRS	0.0
gCSD16_NYC_1	RRSC	0.0
gCSD16_NYC_1	RRSH	0.0
gCSD16_NYC_1	RUVB	0.0
gCSD16_NYC_1	SME	0.0
gCSD16_NYC_1	TET16S	0.0
gCSD16_NYC_1	RPSJ	0.0
gCSD16_NYC_1	TCRZ	0.0
gCSD16_NYC_1	MPHB	0.0
gCSD16_NYC_1	OXA	0.0
gCSD16_NYC_1	SODB	0.0
gCSD16_NYC_1	TERB	0.0
gCSD16_NYC_1	MERD	0.0
gCSD16_NYC_1	ARSRM	0.0
gCSD16_NYC_1	NCRBN	0.0
gCSD16_NYC_1	PCM	0.0
gCSD16_NYC_1	PHOP	0.0
gCSD16_NYC_1	PSTA	0.0
gCSD16_NYC_1	PSTC	0.0
gCSD16_NYC_1	QACC	0.0
gCSD16_NYC_1	RLMA	0.0
gCSD16_NYC_1	YCHH	0.0
gCSD16_NYC_1	CADC	0.0
gCSD16_NYC_1	COPC	0.0
