"","city","QACEDELTA1","EMRD","GYRA","FOSA","PARE","NFSA","ARNT","ACRD","LPTD","TOLC","OMPR","PARC","SOXR","KPNE","GYRB","FLOR","EMRE","ACRB","KDEA","GALE","UHPT","EPTB","SUGE","ACRA","RPSL","EMRR","PATA","OMPK36","BACA","EMRA","RAMA","EMRB","QACL","FABI","BAER","ERMB","SILB","SILC","RPOS","KPNF","GLPT","QACE","PHOQ","AMPH","OMPA","CRP","SILA","PMRF"
"gCSD16_DEN_1","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_10","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_11","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_12","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_13","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_14","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_15","DEN",0,0,0,2.21198727517453e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21198727517454e-05,0,0,0,0,0,0,0,0,7.00462637138603e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_16","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_17","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_18","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_19","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_2","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_21","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_22","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_4","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_5","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_6","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_7","DEN",0,0,0,5.2829380179297e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79032899496507e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_8","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_DEN_9","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_1","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56057729364459e-06,0,0,0,0,0,0,0,0,2.5545610700917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_10","NYC",0,0,0,0,3.0728349757086e-06,0,7.36464580954955e-06,0,0,0,8.55822633730413e-06,0,0,0,7.41543647030506e-06,0,3.14902096684188e-06,0,0,0,2.59032369853122e-06,0,0,0,1.48562682709879e-05,7.87255241710469e-07,5.07906607555141e-06,0,0,0,4.57115946799627e-07,0,0,3.65692757439702e-06,0,3.19981162759739e-06,2.61571902890898e-06,0,1.26976651888785e-06,0,3.65692757439702e-06,0,0,0,6.37422792481702e-06,1.47292916190991e-06,7.49162246143833e-06,0
"gCSD16_NYC_11","NYC",0,2.83836187779262e-05,0,2.60002614759629e-07,0,0,0,6.32673029248431e-05,9.5074289463771e-05,2.60002614759629e-06,0,2.66069342437354e-05,0,0,0.000238205728888947,0,0,7.04607085998595e-05,8.11208158050043e-05,0,0,0.000115744497337162,0,0,3.16336514624215e-06,3.44936802247775e-05,0,6.27472976953238e-05,3.69203712958673e-05,0,2.0063535105618e-05,6.58239953033128e-05,0,0,2.63469316289757e-05,0,0.000181958496562614,6.79040162213898e-05,0.000107381079895727,0,7.1284050213265e-05,0,0,7.74374454292429e-05,0.000125364594083268,0.000101271018448876,0.000419644220222041,0
"gCSD16_NYC_12","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81837117262131e-06,0,0,0,2.16892042414771e-05,0,6.0860478945011e-06,0,0,0,0,0,0,4.5339014516082e-06,0,2.81837117262131e-06,9.63964632954536e-06,0,0,0,0,0,0,0,0,1.4296085658224e-06,6.69873727985356e-06,0
