sample	reads	bases
gCSD16_AKL_10	4417644	667064244
gCSD16_AKL_10	4417644	667064244
gCSD16_AKL_11	3955447	597272497
gCSD16_AKL_11	3955447	597272497
gCSD16_AKL_12	6225730	940085230
gCSD16_AKL_12	6225730	940085230
gCSD16_AKL_13	5459799	824429649
gCSD16_AKL_13	5459799	824429649
gCSD16_AKL_14	3756041	567162191
gCSD16_AKL_14	3756041	567162191
gCSD16_AKL_1	3737675	564388925
gCSD16_AKL_1	3737675	564388925
gCSD16_AKL_2	5422649	818819999
gCSD16_AKL_2	5422649	818819999
gCSD16_AKL_3	5191719	783949569
gCSD16_AKL_3	5191719	783949569
gCSD16_AKL_4	4209429	635623779
gCSD16_AKL_4	4209429	635623779
gCSD16_AKL_5	5893643	889940093
gCSD16_AKL_5	5893643	889940093
gCSD16_AKL_6	5824972	879570772
gCSD16_AKL_6	5824972	879570772
gCSD16_AKL_7	4561451	688779101
gCSD16_AKL_7	4561451	688779101
gCSD16_AKL_8	5138623	775932073
gCSD16_AKL_8	5138623	775932073
gCSD16_AKL_9	5453802	823524102
gCSD16_AKL_9	5453802	823524102
gCSD16_BER_10	41073792	6202142592
gCSD16_BER_10	41073792	6202142592
gCSD16_BER_11	37388530	5645668030
gCSD16_BER_11	37388530	5645668030
gCSD16_BER_12	37262161	5626586311
gCSD16_BER_12	37262161	5626586311
gCSD16_BER_13	33902801	5119322951
gCSD16_BER_13	33902801	5119322951
gCSD16_BER_14	38807839	5859983689
gCSD16_BER_14	38807839	5859983689
gCSD16_BER_15	46672190	7047500690
gCSD16_BER_15	46672190	7047500690
gCSD16_BER_1	3218429	485982779
gCSD16_BER_1	3218429	485982779
gCSD16_BER_2	4690988	708339188
gCSD16_BER_2	4690988	708339188
gCSD16_BER_3	2787634	420932734
gCSD16_BER_3	2787634	420932734
gCSD16_BER_4	2218963	335063413
gCSD16_BER_4	2218963	335063413
gCSD16_BER_5	2583798	390153498
gCSD16_BER_5	2583798	390153498
gCSD16_BER_6	3081869	465362219
gCSD16_BER_6	3081869	465362219
gCSD16_BER_7	4246475	641217725
gCSD16_BER_7	4246475	641217725
gCSD16_BER_8	44149892	6666633692
gCSD16_BER_8	44149892	6666633692
gCSD16_BER_9	50742491	7662116141
gCSD16_BER_9	50742491	7662116141
gCSD16_BOG_10	38773188	5854751388
gCSD16_BOG_10	38773188	5854751388
gCSD16_BOG_11	31978364	4828732964
gCSD16_BOG_11	31978364	4828732964
gCSD16_BOG_12	34201341	5164402491
gCSD16_BOG_12	34201341	5164402491
gCSD16_BOG_13	41510693	6268114643
gCSD16_BOG_13	41510693	6268114643
gCSD16_BOG_14	46524834	7025249934
gCSD16_BOG_14	46524834	7025249934
gCSD16_BOG_15	44411003	6706061453
gCSD16_BOG_15	44411003	6706061453
gCSD16_BOG_16	41816970	6314362470
gCSD16_BOG_16	41816970	6314362470
gCSD16_BOG_1	37891254	5721579354
gCSD16_BOG_1	37891254	5721579354
gCSD16_BOG_2	35313161	5332287311
gCSD16_BOG_2	35313161	5332287311
gCSD16_BOG_3	36255488	5474578688
gCSD16_BOG_3	36255488	5474578688
gCSD16_BOG_4	39329593	5938768543
gCSD16_BOG_4	39329593	5938768543
gCSD16_BOG_5	49756095	7513170345
gCSD16_BOG_5	49756095	7513170345
gCSD16_BOG_6	44450074	6711961174
gCSD16_BOG_6	44450074	6711961174
gCSD16_BOG_8	34442051	5200749701
gCSD16_BOG_8	34442051	5200749701
gCSD16_BOG_9	36913104	5573878704
gCSD16_BOG_9	36913104	5573878704
gCSD16_DEN_10	2996622	452489922
gCSD16_DEN_10	2996622	452489922
gCSD16_DEN_11	2043031	308497681
gCSD16_DEN_11	2043031	308497681
gCSD16_DEN_12	8449932	1275939732
gCSD16_DEN_12	8449932	1275939732
gCSD16_DEN_13	2769429	418183779
gCSD16_DEN_13	2769429	418183779
gCSD16_DEN_14	2400971	362546621
gCSD16_DEN_14	2400971	362546621
gCSD16_DEN_15	2712493	409586443
gCSD16_DEN_15	2712493	409586443
gCSD16_DEN_16	2069972	312565772
gCSD16_DEN_16	2069972	312565772
gCSD16_DEN_17	3150001	475650151
gCSD16_DEN_17	3150001	475650151
gCSD16_DEN_18	4212583	636100033
gCSD16_DEN_18	4212583	636100033
gCSD16_DEN_19	4653302	702648602
gCSD16_DEN_19	4653302	702648602
gCSD16_DEN_1	857347	129459397
gCSD16_DEN_1	857347	129459397
gCSD16_DEN_20	2255142	340526442
gCSD16_DEN_20	2255142	340526442
gCSD16_DEN_21	2737414	413349514
gCSD16_DEN_21	2737414	413349514
gCSD16_DEN_22	7440095	1123454345
gCSD16_DEN_22	7440095	1123454345
gCSD16_DEN_23	3561145	537732895
gCSD16_DEN_2	1811721	273569871
gCSD16_DEN_2	1811721	273569871
gCSD16_DEN_3	1967115	297034365
gCSD16_DEN_3	1967115	297034365
gCSD16_DEN_4	6382301	963727451
gCSD16_DEN_4	6382301	963727451
gCSD16_DEN_5	4172460	630041460
gCSD16_DEN_5	4172460	630041460
gCSD16_DEN_6	5028657	759327207
gCSD16_DEN_6	5028657	759327207
gCSD16_DEN_7	3407195	514486445
gCSD16_DEN_7	3407195	514486445
gCSD16_DEN_8	2392711	361299361
gCSD16_DEN_8	2392711	361299361
gCSD16_DEN_9	2931485	442654235
gCSD16_DEN_9	2931485	442654235
gCSD16_DOH_10	3808544	575090144
gCSD16_DOH_10	3808544	575090144
gCSD16_DOH_11	5306489	801279839
gCSD16_DOH_11	5306489	801279839
gCSD16_DOH_12	3903276	589394676
gCSD16_DOH_12	3903276	589394676
gCSD16_DOH_13	3929559	593363409
gCSD16_DOH_14	4359985	658357735
gCSD16_DOH_14	4359985	658357735
gCSD16_DOH_15	4008256	605246656
gCSD16_DOH_15	4008256	605246656
gCSD16_DOH_16	3566600	538556600
gCSD16_DOH_16	4598277	694339827
gCSD16_DOH_1	2978277	449719827
gCSD16_DOH_1	2978277	449719827
gCSD16_DOH_2	4031441	608747591
gCSD16_DOH_2	4031441	608747591
gCSD16_DOH_3	3349200	505729200
gCSD16_DOH_3	3349200	505729200
gCSD16_DOH_4	3408137	514628687
gCSD16_DOH_4	3408137	514628687
gCSD16_DOH_5	3706206	559637106
gCSD16_DOH_5	3706206	559637106
gCSD16_DOH_6	2997253	452585203
gCSD16_DOH_6	2997253	452585203
gCSD16_DOH_8	3244670	489945170
gCSD16_DOH_8	3244670	489945170
gCSD16_DOH_9	4371456	660089856
gCSD16_DOH_9	4371456	660089856
gCSD16_ILR_10	42836966	6468381866
gCSD16_ILR_10	42836966	6468381866
gCSD16_ILR_11	29823660	4503372660
gCSD16_ILR_11	29823660	4503372660
gCSD16_ILR_12	36005450	5436822950
gCSD16_ILR_12	36005450	5436822950
gCSD16_ILR_13	31533887	4761616937
gCSD16_ILR_13	31533887	4761616937
gCSD16_ILR_14	27684416	4180346816
gCSD16_ILR_14	27684416	4180346816
gCSD16_ILR_15	48404401	7309064551
gCSD16_ILR_15	48404401	7309064551
gCSD16_ILR_16	34881932	5267171732
gCSD16_ILR_16	34881932	5267171732
gCSD16_ILR_1	37125269	5605915619
gCSD16_ILR_1	37125269	5605915619
gCSD16_ILR_2	48806885	7369839635
gCSD16_ILR_2	48806885	7369839635
gCSD16_ILR_3	46695201	7050975351
gCSD16_ILR_3	46695201	7050975351
