gCSD16_DEN_10	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gCSD16_DEN_1	NA	NODE_2303_length_649_cov_1.654882	275	595	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_1	NA	NODE_3430_length_547_cov_1.782520	1	546	+	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	182	279	65.23	96.70	182	WP_140423316.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-648	NA	NA
gCSD16_DEN_1	NA	NODE_7532_length_387_cov_2.108434	3	173	+	qacL	quaternary ammonium compound efflux SMR transporter QacL	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	57	110	51.82	100.00	57	WP_015060824.1	quaternary ammonium compound efflux SMR transporter QacL	NA	NA
gCSD16_DEN_10	NA	NODE_114538_length_257_cov_2.282178	3	242	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	80	107	74.77	98.75	80	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_11	NA	NODE_15462_length_340_cov_1.442105	1	240	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	80	107	74.77	98.75	80	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_14	NA	NODE_100278_length_250_cov_1.969231	3	224	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	74	107	69.16	100.00	74	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_15	NA	NODE_1274_length_666_cov_1.682488	221	598	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	96.03	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_DEN_15	NA	NODE_53599_length_265_cov_0.914286	1	216	-	qacG	quaternary ammonium compound efflux SMR transporter QacG	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	72	107	67.29	98.61	72	WP_015740450.1	quaternary ammonium compound efflux SMR transporter QacG	NA	NA
gCSD16_DEN_15	NA	NODE_944_length_757_cov_1.599715	1	756	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	252	284	88.73	98.41	252	WP_011117480.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_DEN_16	NA	NODE_22183_length_259_cov_1.411765	45	257	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	71	107	66.36	100.00	71	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_17	NA	NODE_10842_length_521_cov_2.693133	22	519	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIAL_CONTIG_ENDX	166	279	59.50	100.00	166	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
gCSD16_DEN_17	NA	NODE_1314_length_1242_cov_3.771693	596	1240	+	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	215	263	81.75	100.00	215	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	NA	NA
gCSD16_DEN_17	NA	NODE_16124_length_447_cov_4.306122	270	446	+	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	59	115	51.30	100.00	59	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
gCSD16_DEN_17	NA	NODE_28032_length_374_cov_1.203762	109	372	-	qacL	quaternary ammonium compound efflux SMR transporter QacL	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	88	110	80.00	98.86	88	WP_015060824.1	quaternary ammonium compound efflux SMR transporter QacL	NA	NA
gCSD16_DEN_17	NA	NODE_28557_length_372_cov_1.211356	163	372	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	70	107	65.42	100.00	70	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_17	NA	NODE_32868_length_356_cov_1.980066	78	356	+	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	93	176	52.84	97.85	93	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_DEN_17	NA	NODE_40662_length_333_cov_1.226619	1	300	+	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	PARTIAL_CONTIG_ENDX	100	180	55.56	100.00	100	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
gCSD16_DEN_17	NA	NODE_954_length_1403_cov_4.060831	22	858	+	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	279	279	100.00	97.49	279	WP_140423316.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-648	NA	NA
gCSD16_DEN_2	NA	NODE_27046_length_265_cov_0.914286	2	265	-	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	88	157	56.05	98.86	88	WP_000777554.1	trimethoprim-resistant dihydrofolate reductase DfrA1	NA	NA
gCSD16_DEN_2	NA	NODE_30574_length_262_cov_0.927536	40	261	-	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	74	107	69.16	100.00	74	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_21	NA	NODE_10433_length_422_cov_1.231608	2	319	-	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	106	176	60.23	99.06	106	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_DEN_21	NA	NODE_1130_length_1496_cov_3.087439	3	623	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	207	279	74.19	97.58	207	WP_140423316.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-648	NA	NA
gCSD16_DEN_21	NA	NODE_141563_length_221_cov_1.108434	1	219	-	qacZ	quaternary ammonium compound efflux SMR transporter QacH	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	INTERNAL_STOP	73	107	68.22	95.89	73	WP_010730188.1	quaternary ammonium compound efflux SMR transporter QacH	NA	NA
gCSD16_DEN_21	NA	NODE_32868_length_283_cov_2.324561	10	282	+	qacF	quaternary ammonium compound efflux SMR transporter QacF	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	91	110	82.73	98.90	91	WP_043876060.1	quaternary ammonium compound efflux SMR transporter QacF	NA	NA
gCSD16_DEN_21	NA	NODE_67328_length_257_cov_0.950495	3	257	-	bleO	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	PARTIAL_CONTIG_ENDX	85	134	63.43	100.00	85	WP_001242578.1	bleomycin binding protein	NA	NA
gCSD16_DEN_4	NA	NODE_31021_length_404_cov_1.329513	192	404	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	71	107	66.36	100.00	71	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_6	NA	NODE_29405_length_369_cov_1.277070	191	367	-	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	59	107	55.14	98.31	59	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_DEN_7	NA	NODE_14379_length_489_cov_2.755760	52	468	+	fosB6	fosfomycin resistance bacillithiol transferase FosB6	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	ALLELEX	139	139	100.00	100.00	139	WP_085562381.1	fosfomycin resistance bacillithiol transferase FosB6	NA	NA
gCSD16_DEN_7	NA	NODE_14444_length_488_cov_2.441109	3	488	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	162	244	66.39	100.00	162	WP_001003264.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
